species,late_mating,foodstoring,protandry,body_mass_change_during_mating,body_mass_male,dimorphism_body_mass_emergence,precipitation,min_temper
Callospermophilus_lateralis,1,Fat,21,-11.126,173,1.26,411,-7
Callospermophilus_saturatus,1,Food,4,-6.38,248,1.45,863,-7.3
Chaetodipus_formosus,4,Food,14,0.8,18.6,1.12,863,-7.3
Cricetus_cricetus,2.5,Food,20,-5.6,400.9,1.58,595,-2.7
Cynomys_leucurus,1,Fat,21,-21.61,829.4,1.69,337,-11.5
Erinaceus_europaeus,1,Fat,17.6,-12.5,1028.67,1.32,803,-5.3
Glis_glis,1,Fat,30,-8.6,105.5,1.1,758,-2.5
Ictidomys_parvidens,6,Fat,7.5,-10.5,192,1.27,347,-2.4
Marmota_monax,1,Fat,22,-6.2,2701,1.03,1156,-11.5
Microcebus_murinus,1,Fat,48,-20.7,62,1.02,922,14.6
Perognathus_longimembris,4,Food,14,3.2,7,1.06,863,-7.3
Poliocitellus_franklinii,1,Fat,11,-2.62,417.1,1.27,517,-21.1
Spermophilus_citellus,1,Fat,23,-9.8,316.26,1.68,556,-2.5
Spermophilus_xanthoprymnus,1,Fat,7.5,-11.62,292,1.69,407,-5.2
Tachyglossus_aculeatus,1,Fat,45,-12.7,3950,1.06,625,3.6
Tamias_amoenus,1,Food,10.5,-5.4,42.3,0.91,846,-7.3
Tamias_sibiricus,1,Food,20,1.5,90.6,0.96,942,-9.4
Urocitellus_armatus,1,Fat,3.66,6.82,333.7,1.25,402,-13
Urocitellus_beldingi,1,Fat,9,-0.4,240.1,1.14,568,-12.4
Urocitellus_columbianus,1,Fat,7,-0.4,430,1.18,346,-17.5
Urocitellus_elegans,1,Fat,17.3,-3.8,249.3,1.37,281,-16.6
Urocitellus_parryii,1,Food,14,-21.6,941,1.58,237,-30.2
Urocitellus_richardsonii,1,Food,16,-10,392.5,1.7,371.5,-14.4
Xerospermophilus_tereticaudus,4,Fat,5.3,4.2,142,1.27,250,2.4
Zapus_hudsonius,1,Fat,14,-2.67,17,1.02,837,-8.5
Urocitellus_brunneus,1,Fat,9,-6.57,175,1.44,610,-11
Zapus_princeps,1,Fat,10.33,-7.91,22.48,0.958226769,570,-14.1
Urocitellus_mollis,1,Fat,15,4.17,181,1.49,248,-5.4
